optimizer,epoch,train_loss,train_accuracy,test_loss,test_accuracy
adam,1,2.0886791426202524,0.30408,1.4610513296127319,0.4619
adam,2,1.5741992478480424,0.4057,1.281905927467346,0.5318
adam,3,1.4640786068518754,0.4516,1.1673595895767213,0.5794
adam,4,1.3780289824356509,0.4889,1.0630403047561645,0.6294
adam,5,1.3181558085219633,0.51428,1.0558419946670532,0.6313
adam,6,1.2691951529754093,0.53154,0.9658006011009216,0.6638
adam,7,1.2275336150013272,0.55152,0.9610314212799073,0.672
adam,8,1.189661912753454,0.56536,0.8693563508987426,0.7022
adam,9,1.1670692521897728,0.57466,0.8235702682495117,0.7029
adam,10,1.137455299534761,0.58802,0.877984358,0.6787
pame,1,1.67257,0.39228,1.28439,0.5261
pame,2,1.35824,0.50862,1.13443,0.5907
pame,3,1.22128,0.56222,0.982336,0.6531
pame,4,1.13731,0.59248,0.926092,0.6732
pame,5,1.0488,0.62676,0.797646,0.7148
pame,6,1.00379,0.64608,1.03581,0.6423
pame,7,0.960061,0.66182,0.768048,0.727
pame,8,0.927411,0.67438,0.755587,0.7395
pame,9,0.891963,0.68874,0.748951,0.7401
pame,10,0.859788,0.70206,0.641979,0.7783
sgd,1,1.81121,0.3392,1.44872,0.4611
sgd,2,1.52153,0.44044,1.26893,0.5241
sgd,3,1.4104,0.48422,1.17413,0.565
sgd,4,1.32335,0.52028,1.05424,0.6267
sgd,5,1.23991,0.5519,0.960976,0.6567
sgd,6,1.17023,0.5763,0.923927,0.6676
sgd,7,1.12205,0.59784,0.894339,0.6873
sgd,8,1.07753,0.6149,0.877222,0.687
sgd,9,1.034,0.63188,0.853858,0.6947
sgd,10,1.00176,0.64574,0.803379,0.7187
adamw,1,2.216438569985997,0.28012,1.5338775035858154,0.4171
adamw,2,1.6655548698152118,0.35316,1.3142201385498047,0.5034
adamw,3,1.56375246,0.38988,1.1997327741622925,0.5482
adamw,4,1.5083434895786179,0.41396,1.1715231443405152,0.5807
adamw,5,1.4551491880660776,0.4363,1.1921435335159303,0.5409
adamw,6,1.4138952789404202,0.454,1.0165983625411987,0.6377
adamw,7,1.3700350166281776,0.4732,1.0289301815032958,0.6497
adamw,8,1.3349597826028419,0.4898,0.960804664,0.6713
adamw,9,1.3143937578591545,0.49638,0.9358344888687133,0.673
adamw,10,1.2833924942919055,0.51374,0.9332731018066406,0.6449
radam,1,1.870515980074168,0.33476,1.3417949842453003,0.5137
radam,2,1.5166000588165829,0.44236,1.291235479927063,0.5274
radam,3,1.3692765427977227,0.50574,1.1426631717681885,0.5897
radam,4,1.2619895913716777,0.54844,0.9719512037277221,0.649
radam,5,1.179651242082991,0.58246,0.9179298693656921,0.6831
radam,6,1.1226206979788174,0.60318,0.874104835,0.6976
radam,7,1.0744349514431966,0.6226,0.7907272385597229,0.72
radam,8,1.0305631015916614,0.64004,0.802722305,0.7234
radam,9,0.9892133820392287,0.6536,0.8489077797889709,0.6976
radam,10,0.9721355491586964,0.66026,0.7129925582885742,0.7485
