Episode,Adam,PAME,SGD,AdamW,RAdam
20,17,20,36,15,9
40,12,17,19,21,12
80,18,95,20,21,10
100,28,32,27,13,12
120,21,39,33,13,9
140,33,37,26,75,42
160,30,33,21,28,11
180,69,47,34,72,12
200,33,86,26,74,15
220,53,63,67,12,16
240,18,132,21,94,25
260,23,94,22,89,9
280,72,130,31,68,15
300,141,35,16,115,16
320,98,110,79,30,34
340,327,192,13,131,28
360,160,135,25,87,11
380,164,154,34,251,17
400,253,154,32,372,23
420,222,482,23,499,45
440,289,202,15,291,35
460,284,199,24,114,24
480,155,254,83,500,14
500,249,262,66,500,59
520,438,225,21,300,61
540,500,183,42,500,20
560,474,344,40,358,78
580,281,453,68,452,62
600,262,255,82,500,42
620,269,500,67,217,12
640,206,200,46,363,34
660,196,500,87,500,62
680,242,500,28,294,47
700,396,249,48,272,54
720,500,229,67,354,22
740,500,500,22,377,134
760,489,500,83,500,113
780,233,402,28,500,42
800,419,500,27,500,202
820,500,500,23,486,99
840,496,500,81,358,159
860,159,500,55,428,46
880,223,469,25,500,274
900,176,500,66,500,178
920,500,500,44,500,179
940,500,500,69,500,180
960,500,500,73,500,132
980,500,500,106,500,231
1000,500,229,86,408,253
1020,500,500,65,161,258
1040,500,201,77,498,178
1060,463,500,62,382,306
1080,500,300,54,500,396
1100,428,153,150,500,211
1120,500,500,35,500,428
1140,500,310,85,500,444
1160,500,500,42,500,93
1180,500,500,33,408,326
1200,263,357,32,500,249
1220,500,471,94,500,500
1240,500,500,30,500,281
1260,500,500,40,500,174
1280,500,500,89,500,307
1300,500,500,139,500,310
1320,266,500,143,500,500
1340,500,500,204,500,237
1360,500,500,67,500,195
1380,230,500,28,500,478
1400,500,500,117,225,457
1420,500,500,60,478,148
1440,500,500,77,500,500
1460,500,500,116,500,269
1480,500,143,175,232,236
1500,500,500,65,500,500
1520,500,500,73,500,421
1540,500,500,131,156,500
1560,500,500,171,500,500
1580,500,500,112,335,500
1600,500,500,53,500,500
1620,500,500,50,500,500
1640,500,500,69,500,500
1660,500,500,95,240,413
1680,500,500,143,446,500
1700,500,500,128,500,500
1720,500,500,192,500,413
1740,500,500,113,500,500
1760,500,500,57,500,500
1780,500,500,151,500,500
1800,500,500,129,500,437
1820,410,500,61,500,500
1840,500,500,85,500,251
1860,434,500,68,500,500
1880,500,500,81,470,500
1900,500,500,221,500,500
1920,500,500,316,500,500
1940,365,500,78,500,500
1960,500,500,80,500,500
1980,500,500,149,500,500
2000,500,416,189,500,500
